#,Company,Symbol,Portfolio%,Price,Chg,% Chg
85,The Cigna Group,CI,0.24%,357.48,-0.5,(-0.14%)
86,Boeing Company,BA,0.24%,178.12,-3.44,(-1.89%)
87,Vertex Pharmaceuticals Inc,VRTX,0.24%,404.48,0.26,(0.06%)
88,Bristol-Myers Squibb Co.,BMY,0.24%,51.6,0.5,(0.98%)
89,Chubb Limited,CB,0.24%,248.03,-5.13,(-2.03%)
90,Automatic Data Processing,ADP,0.23%,250.01,3.37,(1.37%)
91,"Marsh & Mclennan Companies, Inc.",MMC,0.23%,204.33,0.05,(0.02%)
92,Boston Scientific Corp.,BSX,0.23%,68.66,-0.03,(-0.04%)
93,Regeneron Pharmaceuticals Inc,REGN,0.23%,943.89,5.41,(0.58%)
94,Starbucks Corp,SBUX,0.23%,87.13,-0.06,(-0.07%)
95,"Analog Devices, Inc.",ADI,0.22%,204.12,7.43,(3.78%)
96,Lockheed Martin Corp.,LMT,0.22%,447.57,-4.81,(-1.06%)
97,"Fiserv, Inc.",FI,0.22%,155.38,-2.47,(-1.56%)
98,Kla Corporation,KLAC,0.21%,696.83,6.01,(0.87%)
99,Cvs Health Corporation,CVS,0.21%,73.36,-1.08,(-1.45%)
100,Blackstone Inc.,BX,0.21%,132.0,2.68,(2.07%)
101,"Mondelez International, Inc. Class A",MDLZ,0.21%,67.86,0.26,(0.38%)
102,American Tower Corporation,AMT,0.20%,192.81,4.6,(2.44%)
103,Synopsys Inc,SNPS,0.20%,568.99,-7.37,(-1.28%)
104,Gilead Sciences Inc,GILD,0.20%,69.94,0.52,(0.75%)
105,"Palo Alto Networks, Inc.",PANW,0.19%,279.13,10.55,(3.93%)
106,Cadence Design Systems,CDNS,0.19%,311.41,0.32,(0.10%)
107,"T-Mobile Us, Inc.",TMUS,0.19%,161.0,0.1,(0.06%)
108,"Chipotle Mexican Grill, Inc.",CMG,0.18%,2926.96,-4.57,(-0.16%)
